2018, MIN, AL, 91, 309, 283, 54, 75, 16, 2, 13, 45, 18, 102, 2, 1, 3, .265, .313, .473, .786, 
2019, MIN, AL, 72, 228, 198, 28, 51, 11, 2, 8, 25, 21, 71, 0, 0, 8, .258, .351, .455, .805, 
2020, MIN, AL, 15, 51, 46, 4, 9, 1, 0, 1, 7, 2, 19, 0, 0, 3, .196, .275, .283, .557, 
3 Seasons, 177, 587, 526, 86, 134, 28, 4, 22, 77, 41, 192, 2, 1, 14, .255, .323, .449, .772, 
2018, MIN, AL, 309, 134, 120, 2, 3, .363, 31, 2, 41, 1246, 4.032, .330, .042, .176, .208, .208, 0, 
2019, MIN, AL, 228, 90, 89, 0, 1, .358, 21, 5, 30, 922, 4.044, .311, .035, .296, .197, .197, 0, 
2020, MIN, AL, 51, 13, 18, 0, 0, .308, 2, 0, 3, 206, 4.039, .373, .020, .105, .087, .087, 0, 
587, 236, 227, 2, 4, .354, 54, 7, 74, 2369, 4.036, .327, .037, .214, .194, .194, 0, 
