Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, MIN, AL, 6, 19, 18, 3, 5, 1, 0, 1, 5, 0, 5, 0, 0, 1, .278, .316, .500, .816, 9, 7, 0, 0, .333, 2, 0, 3, 80, 4.211, .263, .053, .---, .222, .222, 0
1 Season, 6, 19, 18, 3, 5, 1, 0, 1, 5, 0, 5, 0, 0, 1, .278, .316, .500, .816, 19, 9, 7, 0, 0, .333, 2, 0, 3, 80, 4.211, .263, .053, .---, .222, .222, 0
