Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, MIN, AL, 92, 366, 326, 54, 109, 20, 1, 4, 28, 36, 29, 2, 2, 1, .334, .399, .439, .838, 366, 143, 96, 0, 3, .355, 25, 2, 44, 1486, 4.060, .079, .011, 1.241, .104, .104, 0
2020, MIN, AL, 30, 113, 104, 14, 30, 5, 0, 0, 10, 8, 11, 0, 0, 0, .288, .336, .337, .673, 113, 35, 26, 0, 1, .319, 5, 2, 17, 470, 4.159, .097, .000, .727, .048, .048, 0
2 Seasons, 122, 479, 430, 68, 139, 25, 1, 4, 38, 44, 40, 2, 2, 1, .323, .384, .414, .798, 479, 178, 122, 0, 4, .346, 30, 4, 61, 1956, 4.084, .084, .008, 1.100, .091, .091, 0
