Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, MIN, AL, 18, 41, 36, 3, 10, 0, 0, 1, 3, 3, 13, 0, 0, 2, .278, .366, .361, .727, 13, 19, 0, 0, .409, 1, 0, 1, 166, 4.049, .317, .024, .231, .083, .083, 0
1 Season, 17, 40, 35, 3, 10, 0, 0, 1, 3, 3, 13, 0, 0, 2, .286, .375, .371, .746, 40, 13, 19, 0, 0, .429, 1, 0, 1, 164, 4.100, .325, .025, .231, .086, .086, 0
