Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, STL, NL, 23, 79, 74, 6, 12, 3, 0, 1, 5, 5, 23, 1, 1, 0, .162, .215, .243, .458, 18, 53, 0, 0, .220, 4, 3, 10, 326, 4.127, .291, .013, .217, .081, .081, 0
1 Season, 23, 79, 74, 6, 12, 3, 0, 1, 5, 5, 23, 1, 1, 0, .162, .215, .243, .458, 79, 18, 53, 0, 0, .220, 4, 3, 10, 326, 4.127, .291, .013, .217, .081, .081, 0
