Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2018, STL, NL, 61, 142, 130, 29, 33, 5, 0, 9, 23, 7, 57, 2, 0, 3, .254, .303, .500, .803, 65, 53, 0, 2, .364, 14, 0, 18, 566, 3.986, .401, .063, .123, .246, .246, 1
2019, STL, NL, 60, 151, 141, 18, 37, 6, 0, 5, 16, 10, 53, 1, 0, 0, .262, .311, .411, .723, 58, 67, 0, 0, .386, 11, 3, 15, 614, 4.066, .351, .033, .189, .149, .149, 0
2020, STL, NL, 32, 114, 102, 13, 19, 4, 0, 5, 12, 10, 30, 1, 1, 2, .186, .272, .373, .644, 38, 59, 0, 0, .209, 9, 2, 19, 442, 3.877, .263, .044, .333, .186, .186, 0
3 Seasons, 153, 407, 373, 60, 89, 15, 0, 19, 51, 27, 140, 4, 1, 5, .239, .297, .432, .729, 407, 161, 179, 0, 2, .324, 34, 5, 52, 1622, 3.985, .344, .047, .193, .193, .193, 1
