2013, TB, AL, 88, 373, 335, 50, 98, 23, 0, 13, 53, 33, 91, 5, 2, 1, .293, .354, .478, .831, 
2014, TB, AL, 87, 361, 325, 37, 72, 14, 0, 6, 35, 34, 90, 6, 1, 0, .222, .294, .320, .614, 
2015, SD, NL, 60, 253, 225, 40, 57, 13, 1, 8, 29, 27, 55, 5, 2, 1, .253, .336, .427, .763, 
2016, SD, NL, 157, 676, 599, 99, 155, 29, 4, 28, 94, 68, 160, 28, 6, 4, .259, .336, .461, .797, 
2017, SD, NL, 155, 649, 567, 80, 138, 29, 3, 30, 74, 70, 180, 20, 6, 5, .243, .328, .464, .792, 
2018, SD, NL, 83, 343, 312, 39, 79, 25, 1, 11, 39, 30, 94, 13, 1, 0, .253, .318, .446, .763, 
2019, SD, NL, 155, 490, 435, 58, 104, 22, 1, 18, 53, 51, 168, 16, 7, 2, .239, .321, .418, .740, 
2020, SD, NL, 34, 137, 123, 21, 36, 9, 1, 9, 25, 12, 38, 1, 0, 2, .293, .365, .602, .967, 
8 Seasons, 819, 3282, 2921, 424, 739, 164, 11, 123, 402, 325, 876, 94, 25, 15, .253, .329, .443, .772, 
2013, TB, AL, 373, 160, 156, 0, 4, .362, 36, 10, 64, 1476, 3.957, .244, .035, .363, .185, .185, 1, 
2014, TB, AL, 361, 104, 162, 0, 2, .286, 20, 10, 53, 1376, 3.812, .249, .017, .378, .098, .098, 0, 
2015, SD, NL, 253, 96, 60, 0, 0, .302, 22, 2, 18, 1076, 4.253, .217, .032, .491, .173, .173, 0, 
2016, SD, NL, 676, 276, 216, 0, 5, .305, 61, 12, 84, 2884, 4.266, .237, .041, .425, .202, .202, 1, 
2017, SD, NL, 649, 263, 226, 0, 7, .297, 62, 15, 79, 2669, 4.112, .277, .046, .389, .220, .220, 0, 
2018, SD, NL, 343, 139, 115, 0, 1, .327, 37, 10, 51, 1419, 4.137, .274, .032, .319, .192, .192, 0, 
2019, SD, NL, 490, 182, 174, 1, 1, .344, 41, 12, 52, 2039, 4.161, .343, .037, .304, .179, .179, 1, 
2020, SD, NL, 137, 74, 45, 0, 0, .355, 19, 0, 6, 530, 3.869, .277, .066, .316, .309, .309, 1, 
3282, 1294, 1154, 1, 20, .317, 298, 71, 407, 13469, 4.104, .267, .037, .371, .190, .190, 4, 
