2020, 2 Teams, 17, 54, 52, 7, 13, 2, 0, 2, 7, 2, 18, 0, 2, 0, .250, .278, .404, .682, 21, 26, 0, 0, .344, 200, 
2020, KC, AL, 4, 18, 18, 3, 7, 1, 0, 1, 4, 0, 4, 0, 1, 0, .389, .389, .611, 1.000, 18, 11, 8, 0, 0, .462, 2, 1, 5, 55, 3.056, .222, .056, .---, .222, .222, 0, 
2020, SD, NL, 13, 36, 34, 4, 6, 1, 0, 1, 3, 2, 14, 0, 1, 0, .176, .222, .294, .516, 36, 10, 18, 0, 0, .263, 2, 0, 5, 145, 4.028, .389, .028, .143, .118, .118, 0, 
1 Season, 17, 54, 52, 7, 13, 2, 0, 2, 7, 2, 18, 0, 2, 0, .250, .278, .404, .682, 0, 0, .344, 4, 1, 10, 200, 3.704, .333, .037, .111, .154, .154, 0, 
