2019, SD, NL, 84, 372, 334, 61, 106, 13, 6, 22, 53, 30, 110, 16, 6, 5, .317, .379, .590, .969, 
2020, SD, NL, 29, 130, 115, 27, 35, 5, 1, 12, 29, 13, 35, 6, 0, 2, .304, .385, .678, 1.063, 
2 Seasons, 113, 502, 449, 88, 141, 18, 7, 34, 82, 43, 145, 22, 6, 7, .314, .380, .612, .993, 
2019, SD, NL, 372, 197, 105, 0, 3, .410, 41, 4, 43, 1399, 3.761, .296, .059, .273, .272, .272, 0, 
2020, SD, NL, 130, 78, 34, 0, 0, .338, 18, 3, 20, 490, 3.769, .269, .092, .371, .374, .374, 0, 
502, 275, 139, 0, 3, .392, 59, 7, 63, 1889, 3.763, .289, .068, .297, .298, .298, 0, 
