2019, SEA, AL, 79, 267, 238, 37, 64, 12, 1, 10, 31, 23, 63, 1, 0, 4, .269, .342, .454, .796, 
2020, 2 Teams, 30, 114, 101, 16, 31, 5, 1, 5, 19, 10, 17, 0, 0, 2, .307, .377, .525, .902, 
2020, SD, NL, 1, 4, 3, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, .333, .500, .333, .833, 
2020, SEA, AL, 29, 110, 98, 15, 30, 5, 1, 5, 19, 9, 17, 0, 0, 2, .306, .373, .531, .903, 
2 Seasons, 109, 381, 339, 53, 95, 17, 2, 15, 50, 33, 80, 1, 0, 6, .280, .353, .475, .828, 
2019, SEA, AL, 267, 108, 88, 1, 1, .325, 23, 8, 38, 1049, 3.929, .236, .037, .365, .185, .185, 0, 
2020, 2 Teams, 114, 53, 46, 0, 1, .325, 437, 
2020, SD, NL, 4, 1, 0, 0, 0, .333, 0, 0, 0, 11, 2.750, .000, .000, .---, .000, .000, 0, 
2020, SEA, AL, 110, 52, 46, 0, 1, .325, 11, 1, 12, 426, 3.873, .155, .045, .529, .224, .224, 0, 
381, 161, 134, 1, 2, .325, 34, 9, 50, 1486, 3.900, .210, .039, .413, .195, .195, 0, 
