Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, ARI, NL, 39, 78, 71, 12, 15, 4, 0, 6, 16, 4, 28, 0, 1, 2, .211, .269, .521, .790, 37, 34, 0, 1, .237, 10, 2, 4, 311, 3.987, .359, .077, .143, .310, .310, 0
2020, ARI, NL, 8, 20, 17, 0, 0, 0, 0, 0, 0, 1, 7, 0, 0, 2, .000, .150, .000, .150, 0, 10, 0, 0, .000, 0, 0, 1, 82, 4.100, .350, .000, .143, .000, .000, 0
2 Seasons, 47, 98, 88, 12, 15, 4, 0, 6, 16, 5, 35, 0, 1, 4, .170, .245, .420, .665, 98, 37, 44, 0, 1, .188, 10, 2, 5, 393, 4.010, .357, .061, .143, .250, .250, 0
