Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, ARI, NL, 16, 25, 25, 1, 1, 0, 0, 0, 0, 0, 18, 0, 0, 0, .040, .040, .040, .080, 25, 1, 5, 0, 0, .143, 0, 0, 0, 114, 4.560, .720, .000, .---, .000, .000, 0
2020, ARI, NL, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2 Seasons, 16, 25, 25, 1, 1, 0, 0, 0, 0, 0, 18, 0, 0, 0, .040, .040, .040, .080, 25, 1, 5, 0, 0, .143, 0, 0, 0, 114, 4.560, .720, .000, .---, .000, .000, 0
