Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, ARI, NL, 25, 66, 59, 9, 9, 2, 1, 2, 5, 6, 19, 1, 0, 1, .153, .242, .322, .564, 19, 40, 0, 0, .184, 5, 1, 7, 261, 3.955, .288, .030, .316, .169, .169, 0
1 Season, 25, 66, 59, 9, 9, 2, 1, 2, 5, 6, 19, 1, 0, 1, .153, .242, .322, .564, 66, 19, 40, 0, 0, .184, 5, 1, 7, 261, 3.955, .288, .030, .316, .169, .169, 0
