Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, SEA, AL, 113, 282, 247, 31, 51, 14, 2, 9, 28, 25, 93, 11, 9, 9, .206, .302, .389, .691, 96, 105, 1, 0, .290, 25, 6, 30, 1162, 4.121, .330, .032, .269, .182, .182, 0
2020, SEA, AL, 28, 115, 102, 22, 29, 8, 0, 7, 15, 8, 30, 10, 4, 5, .284, .365, .569, .934, 58, 37, 0, 0, .338, 15, 4, 13, 460, 4.000, .261, .061, .267, .284, .284, 0
2 Seasons, 140, 394, 346, 52, 79, 22, 2, 15, 42, 33, 123, 20, 13, 14, .228, .321, .434, .754, 394, 150, 141, 1, 0, .308, 39, 10, 43, 1609, 4.084, .312, .038, .268, .205, .205, 0
