2017, MIL, NL, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 
2018, MIL, NL, 52, 4, 4, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, .250, .250, .250, .500, 
2019, MIL, NL, 12, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 
2020, SEA, AL, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 
4 Seasons, 70, 5, 5, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, .200, .200, .200, .400, 
2017, MIL, NL, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0, 
2018, MIL, NL, 4, 1, 1, 0, 0, 1.000, 0, 0, 0, 20, 5.000, .750, .000, .---, .000, .000, 0, 
2019, MIL, NL, 1, 0, 2, 0, 0, .---, 0, 0, 0, 5, 5.000, 1.000, .000, .---, .000, .000, 0, 
2020, SEA, AL, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0, 
5, 1, 3, 0, 0, 1.000, 0, 0, 0, 25, 5.000, .800, .000, .---, .000, .000, 0, 
