Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, SEA, AL, 18, 75, 71, 10, 19, 5, 0, 6, 13, 3, 29, 0, 0, 0, .268, .293, .592, .885, 42, 23, 0, 1, .351, 11, 0, 11, 305, 4.067, .387, .080, .103, .324, .324, 0
2020, SEA, AL, 43, 179, 154, 32, 47, 2, 0, 9, 23, 24, 47, 3, 0, 0, .305, .397, .494, .890, 76, 59, 0, 1, .384, 11, 2, 22, 726, 4.056, .263, .050, .511, .188, .188, 0
2 Seasons, 60, 253, 224, 42, 66, 7, 0, 15, 36, 27, 75, 3, 0, 0, .295, .368, .527, .894, 253, 118, 81, 0, 2, .375, 22, 2, 33, 1026, 4.055, .296, .059, .360, .232, .232, 0
