Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2017, MIL, NL, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2018, MIL, NL, 52, 4, 4, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, .250, .250, .250, .500, 4, 1, 1, 0, 0, 1.000, 0, 0, 0, 20, 5.000, .750, .000, .---, .000, .000, 0
2019, MIL, NL, 12, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 1, 0, 2, 0, 0, .---, 0, 0, 0, 5, 5.000, 1.000, .000, .---, .000, .000, 0
2020, SEA, AL, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
4 Seasons, 70, 5, 5, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, .200, .200, .200, .400, 5, 1, 3, 0, 0, 1.000, 0, 0, 0, 25, 5.000, .800, .000, .---, .000, .000, 0
