2019, NYM, NL, 11, 4, 4, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, .000, .000, .000, .000, 4, 0, 1, 0, 0, .000, 0, 0, 0, 17, 4.250, .750, .000, .---, .000, .000, 0, 
2020, SEA, AL, 13, 54, 50, 7, 13, 4, 0, 1, 6, 4, 16, 4, 0, 0, .260, .315, .400, .715, 54, 20, 20, 0, 0, .364, 5, 0, 5, 229, 4.241, .296, .019, .250, .140, .140, 0, 
2 Seasons, 24, 58, 54, 9, 13, 4, 0, 1, 6, 4, 19, 4, 0, 0, .241, .293, .370, .663, 58, 20, 21, 0, 0, .353, 5, 0, 5, 246, 4.241, .328, .017, .211, .130, .130, 0, 
