Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, SD, NL, 69, 201, 184, 20, 43, 8, 1, 7, 24, 9, 49, 0, 2, 7, .234, .294, .402, .696, 201, 74, 66, 0, 1, .279, 16, 8, 29, 801, 3.985, .244, .035, .184, .168, .168, 0
2020, 2 Teams, 26, 85, 76, 12, 24, 5, 1, 2, 14, 8, 20, 0, 0, 1, .316, .388, .487, .875, 37, 31, 0, 0, .407, 324
2020, SD, NL, 20, 61, 55, 9, 17, 4, 0, 2, 10, 5, 15, 0, 0, 1, .309, .377, .491, .868, 61, 27, 22, 0, 0, .395, 6, 1, 9, 225, 3.689, .246, .033, .333, .182, .182, 0
2020, SEA, AL, 6, 24, 21, 3, 7, 1, 1, 0, 4, 3, 5, 0, 0, 0, .333, .417, .476, .893, 24, 10, 9, 0, 0, .438, 2, 1, 3, 99, 4.125, .208, .000, .600, .143, .143, 0
2 Seasons, 95, 286, 260, 32, 67, 13, 2, 9, 38, 17, 69, 0, 2, 8, .258, .322, .427, .749, 286, 111, 97, 0, 1, .317, 24, 10, 41, 1125, 3.934, .241, .031, .246, .169, .169, 0
