2018, CWS, AL, 19, 40, 37, 3, 4, 1, 0, 1, 4, 0, 15, 0, 0, 1, .108, .125, .216, .341, 
2019, CWS, AL, 97, 247, 217, 22, 48, 8, 0, 7, 24, 19, 69, 3, 1, 3, .221, .290, .355, .645, 
2020, NYM, NL, 4, 4, 4, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, .250, .250, .250, .500, 
3 Seasons, 120, 291, 258, 25, 53, 9, 0, 8, 28, 19, 86, 4, 1, 4, .205, .267, .333, .600, 
2018, CWS, AL, 40, 8, 16, 0, 2, .130, 2, 0, 2, 150, 3.750, .375, .025, .---, .108, .108, 0, 
2019, CWS, AL, 247, 77, 100, 6, 2, .287, 15, 2, 37, 982, 3.976, .279, .028, .275, .134, .134, 0, 
2020, NYM, NL, 4, 1, 0, 0, 0, .500, 0, 0, 0, 20, 5.000, .500, .000, .---, .000, .000, 0, 
291, 86, 116, 6, 4, .268, 17, 2, 39, 1152, 3.959, .296, .027, .221, .128, .128, 0, 
