2015, CHC, NL, 151, 650, 559, 87, 154, 31, 5, 26, 99, 77, 199, 13, 4, 9, .275, .369, .488, .858, 
2016, CHC, NL, 155, 699, 603, 121, 176, 35, 3, 39, 102, 75, 154, 8, 5, 18, .292, .385, .554, .939, 
2017, CHC, NL, 151, 665, 549, 111, 162, 38, 4, 29, 73, 95, 128, 7, 5, 15, .295, .409, .537, .946, 
2018, CHC, NL, 102, 457, 389, 59, 106, 28, 3, 13, 52, 48, 107, 2, 4, 17, .272, .374, .460, .834, 
2019, CHC, NL, 147, 634, 543, 108, 153, 35, 1, 31, 77, 74, 145, 4, 0, 15, .282, .382, .521, .903, 
2020, CHC, NL, 16, 70, 62, 9, 11, 3, 0, 2, 4, 6, 20, 0, 0, 2, .177, .271, .323, .594, 
6 Seasons, 722, 3175, 2705, 495, 762, 170, 16, 140, 407, 375, 753, 34, 18, 76, .282, .382, .512, .894, 
2015, CHC, NL, 650, 273, 237, 0, 5, .378, 62, 7, 86, 2651, 4.078, .306, .040, .387, .213, .213, 2, 
2016, CHC, NL, 699, 334, 271, 0, 3, .332, 77, 3, 109, 2699, 3.861, .220, .056, .487, .262, .262, 0, 
2017, CHC, NL, 665, 295, 220, 0, 6, .334, 71, 8, 84, 2652, 3.988, .192, .044, .742, .242, .242, 0, 
2018, CHC, NL, 457, 179, 167, 0, 3, .342, 44, 5, 71, 1742, 3.812, .234, .028, .449, .188, .188, 0, 
2019, CHC, NL, 634, 283, 198, 0, 2, .331, 67, 10, 69, 2486, 3.921, .229, .049, .510, .239, .239, 1, 
2020, CHC, NL, 70, 20, 27, 0, 0, .225, 5, 1, 6, 284, 4.057, .286, .029, .300, .145, .145, 0, 
3175, 1384, 1120, 0, 19, .340, 326, 34, 425, 12514, 3.941, .237, .044, .498, .230, .230, 3, 
