Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, MIN, AL, 12, 17, 17, 2, 3, 1, 0, 0, 1, 0, 3, 0, 0, 0, .176, .176, .235, .412, 17, 4, 7, 0, 0, .214, 1, 0, 3, 74, 4.353, .176, .000, .---, .059, .059, 0
2020, CHC, NL, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2 Seasons, 13, 17, 17, 2, 3, 1, 0, 0, 1, 0, 3, 0, 0, 0, .176, .176, .235, .412, 17, 4, 7, 0, 0, .214, 1, 0, 3, 74, 4.353, .176, .000, .---, .059, .059, 0
