Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, TEX, AL, 33, 135, 116, 19, 34, 6, 1, 5, 17, 15, 29, 2, 0, 4, .293, .393, .491, .884, 57, 44, 0, 0, .354, 12, 2, 13, 550, 4.074, .215, .037, .517, .198, .198, 1
2020, TEX, AL, 43, 175, 157, 20, 42, 9, 0, 2, 20, 14, 28, 4, 1, 1, .268, .326, .363, .689, 57, 53, 0, 3, .308, 11, 6, 32, 666, 3.806, .160, .011, .500, .096, .096, 0
2 Seasons, 75, 306, 270, 38, 76, 15, 1, 7, 36, 28, 57, 6, 1, 5, .281, .356, .422, .778, 306, 114, 96, 0, 3, .330, 23, 8, 45, 1201, 3.925, .186, .023, .491, .141, .141, 1
