2017, HOU, AL, 53, 166, 146, 21, 31, 4, 1, 5, 17, 17, 54, 3, 3, 3, .212, .307, .356, .663, 
2018, HOU, AL, 42, 86, 79, 13, 13, 2, 2, 4, 11, 5, 42, 2, 0, 0, .165, .209, .392, .602, 
2019, 2 Teams, 57, 167, 146, 23, 27, 4, 1, 7, 17, 21, 57, 5, 1, 0, .185, .287, .370, .657, 
2019, HOU, AL, 17, 60, 53, 9, 12, 2, 1, 1, 5, 7, 14, 4, 1, 0, .226, .317, .358, .675, 
2019, TOR, AL, 40, 107, 93, 14, 15, 2, 0, 6, 12, 14, 43, 1, 0, 0, .161, .271, .376, .647, 
2020, TOR, AL, 9, 21, 17, 1, 3, 1, 1, 0, 2, 3, 7, 0, 1, 0, .176, .286, .353, .639, 
4 Seasons, 161, 440, 388, 58, 74, 11, 5, 16, 47, 46, 160, 10, 5, 3, .191, .280, .369, .648, 
2017, HOU, AL, 166, 52, 58, 0, 0, .299, 10, 1, 10, 668, 4.024, .325, .030, .315, .144, .144, 0, 
2018, HOU, AL, 86, 31, 47, 0, 2, .257, 8, 0, 12, 337, 3.919, .488, .047, .119, .228, .228, 0, 
2019, 2 Teams, 167, 54, 68, 0, 0, .244, 670, 
2019, HOU, AL, 60, 19, 18, 0, 0, .289, 4, 0, 4, 228, 3.800, .233, .017, .500, .132, .132, 0, 
2019, TOR, AL, 107, 35, 50, 0, 0, .205, 8, 3, 14, 442, 4.131, .402, .056, .326, .215, .215, 0, 
2020, TOR, AL, 21, 6, 8, 0, 1, .273, 2, 0, 2, 93, 4.429, .333, .000, .429, .176, .176, 0, 
440, 143, 181, 0, 3, .270, 32, 4, 42, 1768, 4.018, .364, .036, .288, .178, .178, 0, 
