2015, BOS, AL, 65, 248, 226, 31, 61, 10, 0, 13, 36, 18, 57, 0, 1, 2, .270, .327, .487, .813, 248, 110, 101, 0, 2, .304, 23, 1, 24, 1022, 4.121, .230, .052, .316, .217, .217, 0, 
2016, BOS, AL, 145, 530, 480, 63, 116, 34, 2, 16, 71, 43, 133, 5, 1, 3, .242, .306, .421, .726, 530, 202, 227, 0, 4, .299, 52, 10, 68, 2131, 4.021, .251, .030, .323, .179, .179, 0, 
2017, MIL, NL, 144, 606, 538, 84, 147, 34, 1, 31, 101, 60, 138, 10, 0, 4, .273, .349, .513, .862, 606, 276, 246, 1, 3, .312, 66, 20, 81, 2396, 3.954, .228, .051, .435, .240, .240, 1, 
2018, MIL, NL, 152, 587, 498, 73, 120, 23, 0, 32, 86, 78, 108, 5, 2, 4, .241, .345, .480, .825, 587, 239, 232, 1, 6, .242, 55, 7, 73, 2390, 4.072, .184, .055, .722, .239, .239, 1, 
2019, MIL, NL, 86, 270, 230, 22, 36, 5, 0, 7, 16, 36, 89, 0, 0, 4, .157, .281, .270, .551, 270, 62, 120, 0, 0, .216, 12, 5, 21, 1176, 4.356, .330, .026, .404, .113, .113, 0, 
2020, TOR, AL, 34, 130, 118, 13, 29, 7, 0, 4, 12, 12, 34, 0, 0, 0, .246, .315, .407, .722, 130, 48, 52, 0, 0, .313, 11, 4, 18, 507, 3.900, .262, .031, .353, .161, .161, 1, 
6 Seasons, 626, 2371, 2090, 286, 509, 113, 3, 103, 322, 247, 559, 20, 4, 17, .244, .326, .448, .775, 2371, 937, 978, 2, 15, .281, 219, 47, 285, 9622, 4.058, .236, .043, .442, .205, .205, 3, 
