Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2015, ARI, NL, 20, 59, 56, 3, 12, 3, 0, 2, 8, 2, 8, 0, 0, 1, .214, .254, .375, .629, 59, 21, 17, 0, 0, .217, 5, 5, 10, 215, 3.644, .136, .034, .250, .161, .161, 0
2016, ARI, NL, 134, 499, 461, 59, 130, 31, 1, 16, 53, 31, 100, 1, 1, 3, .282, .329, .458, .786, 499, 211, 175, 0, 4, .327, 48, 14, 50, 1947, 3.902, .200, .032, .310, .176, .176, 4
2017, ARI, NL, 135, 480, 445, 41, 119, 37, 2, 13, 63, 28, 103, 1, 1, 5, .267, .317, .447, .764, 480, 199, 196, 0, 2, .320, 52, 9, 55, 1847, 3.848, .215, .027, .272, .180, .180, 1
2018, 2 Teams, 26, 86, 77, 5, 13, 4, 0, 1, 10, 7, 20, 0, 0, 2, .169, .256, .260, .516, 20, 31, 0, 0, .214, 5, 5, 14, 336, 3.907, .233, .012, .350, .091, .091, 0
2018, NYY, AL, 18, 57, 51, 2, 9, 2, 0, 1, 7, 5, 12, 0, 0, 1, .176, .263, .275, .538, 57, 14, 20, 0, 0, .211, 3, 4, 10, 226, 3.965, .211, .018, .417, .098, .098, 0
2018, TOR, AL, 8, 29, 26, 3, 4, 2, 0, 0, 3, 2, 8, 0, 0, 1, .154, .241, .231, .472, 29, 6, 11, 0, 0, .222, 2, 1, 4, 110, 3.793, .276, .000, .250, .077, .077, 0
2019, TOR, AL, 120, 447, 418, 43, 91, 21, 1, 15, 41, 25, 113, 0, 1, 1, .218, .262, .380, .642, 447, 159, 177, 0, 3, .259, 37, 6, 51, 1783, 3.989, .253, .034, .221, .163, .163, 1
2020, TOR, AL, 21, 49, 46, 3, 7, 1, 0, 0, 1, 2, 9, 0, 0, 0, .152, .184, .174, .358, 49, 8, 27, 0, 1, .184, 1, 0, 5, 188, 3.837, .184, .000, .222, .022, .022, 0
6 Seasons, 456, 1620, 1503, 154, 372, 97, 4, 47, 176, 95, 353, 2, 3, 12, .248, .296, .411, .707, 1620, 618, 623, 0, 10, .292, 148, 39, 185, 6316, 3.899, .218, .029, .269, .164, .164, 6
