Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, TOR, AL, 23, 58, 53, 8, 13, 3, 0, 0, 2, 3, 16, 1, 0, 0, .245, .281, .302, .583, 16, 19, 1, 1, .342, 3, 1, 6, 234, 4.034, .276, .000, .188, .057, .057, 0
1 Season, 23, 58, 53, 8, 13, 3, 0, 0, 2, 3, 16, 1, 0, 0, .245, .281, .302, .583, 58, 16, 19, 1, 1, .342, 3, 1, 6, 234, 4.034, .276, .000, .188, .057, .057, 0
