Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, TOR, AL, 123, 514, 464, 52, 126, 26, 2, 15, 69, 46, 91, 0, 1, 2, .272, .339, .433, .772, 201, 206, 0, 2, .308, 43, 17, 86, 1986, 3.864, .177, .029, .505, .162, .162, 0
2020, TOR, AL, 44, 180, 161, 22, 40, 8, 1, 6, 23, 18, 34, 1, 0, 1, .248, .328, .422, .750, 68, 66, 0, 0, .281, 15, 5, 24, 665, 3.694, .189, .033, .529, .174, .174, 0
2 Seasons, 166, 692, 623, 74, 165, 34, 3, 21, 91, 64, 124, 1, 1, 3, .265, .335, .430, .765, 692, 268, 271, 0, 2, .300, 58, 22, 110, 2641, 3.816, .179, .030, .516, .165, .165, 0
