2016, CWS, AL, 99, 431, 410, 57, 116, 22, 6, 9, 30, 13, 117, 10, 2, 1, .283, .306, .432, .738, 
2017, CWS, AL, 146, 606, 587, 72, 151, 26, 4, 17, 56, 13, 162, 15, 1, 3, .257, .276, .402, .679, 
2018, CWS, AL, 153, 606, 567, 77, 136, 28, 3, 20, 64, 30, 149, 26, 8, 4, .240, .281, .406, .687, 
2019, CWS, AL, 123, 518, 498, 81, 167, 32, 0, 18, 56, 15, 109, 17, 5, 3, .335, .357, .508, .865, 
2020, CWS, AL, 19, 81, 77, 23, 28, 6, 1, 6, 9, 3, 18, 3, 0, 1, .364, .395, .701, 1.096, 
5 Seasons, 539, 2241, 2138, 310, 598, 114, 14, 70, 215, 74, 554, 71, 16, 12, .280, .307, .444, .751, 
2016, CWS, AL, 431, 177, 142, 6, 1, .375, 37, 15, 62, 1596, 3.703, .271, .021, .111, .149, .149, 0, 
2017, CWS, AL, 606, 236, 250, 2, 1, .328, 47, 13, 72, 2117, 3.493, .267, .028, .080, .145, .145, 1, 
2018, CWS, AL, 606, 230, 227, 2, 3, .289, 51, 15, 69, 2200, 3.630, .246, .033, .201, .166, .166, 0, 
2019, CWS, AL, 518, 253, 187, 0, 2, .399, 50, 12, 81, 1765, 3.407, .210, .035, .138, .173, .173, 1, 
2020, CWS, AL, 81, 54, 15, 0, 0, .415, 13, 2, 8, 292, 3.605, .222, .074, .167, .338, .338, 0, 
2241, 950, 821, 10, 7, .347, 198, 57, 292, 7966, 3.555, .247, .031, .134, .165, .165, 2, 
