Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, CWS, AL, 16, 40, 39, 6, 12, 0, 0, 2, 4, 1, 11, 0, 0, 0, .308, .325, .462, .786, 18, 18, 0, 0, .385, 2, 1, 4, 162, 4.050, .275, .050, .091, .154, .154, 0
2020, CWS, AL, 31, 109, 102, 10, 25, 4, 1, 3, 6, 6, 23, 0, 1, 0, .245, .284, .392, .677, 40, 41, 0, 1, .286, 8, 3, 14, 438, 4.018, .211, .028, .261, .147, .147, 0
2 Seasons, 47, 149, 141, 16, 37, 4, 1, 5, 10, 7, 34, 0, 1, 0, .262, .295, .411, .707, 149, 58, 59, 0, 1, .311, 10, 4, 18, 600, 4.027, .228, .034, .206, .149, .149, 0
