Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2016, STL, NL, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2017, STL, NL, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2018, STL, NL, 48, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, .000, .500, .000, .500, 2, 0, 1, 0, 0, .---, 0, 0, 0, 11, 5.500, .500, .000, 1.000, .000, .000, 0
2019, STL, NL, 15, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 1, 0, 1, 0, 0, .---, 0, 0, 0, 3, 3.000, 1.000, .000, .---, .000, .000, 0
2020, LAA, AL, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
5 Seasons, 70, 3, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, .000, .333, .000, .333, 3, 0, 2, 0, 0, .---, 0, 0, 0, 14, 4.667, .667, .000, .500, .000, .000, 0
