Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, LAA, AL, 30, 112, 104, 8, 18, 3, 0, 3, 7, 7, 44, 0, 1, 1, .173, .232, .288, .521, 30, 54, 0, 0, .263, 6, 3, 11, 462, 4.125, .393, .027, .159, .115, .115, 1
1 Season, 29, 112, 104, 8, 18, 3, 0, 3, 7, 7, 44, 0, 1, 1, .173, .232, .288, .521, 112, 30, 54, 0, 0, .263, 6, 3, 11, 462, 4.125, .393, .027, .159, .115, .115, 1
