2019, KC, AL, 23, 83, 75, 8, 22, 5, 0, 0, 6, 7, 25, 0, 0, 1, .293, .361, .360, .721, 
2020, KC, AL, 19, 50, 47, 5, 13, 3, 0, 3, 5, 3, 19, 0, 0, 0, .277, .320, .532, .852, 
2 Seasons, 42, 133, 122, 13, 35, 8, 0, 3, 11, 10, 44, 0, 0, 1, .287, .346, .426, .772, 
2019, KC, AL, 83, 27, 41, 0, 0, .440, 5, 3, 15, 343, 4.133, .301, .000, .280, .067, .067, 0, 
2020, KC, AL, 50, 25, 16, 0, 0, .400, 6, 2, 9, 216, 4.320, .380, .060, .158, .255, .255, 0, 
133, 52, 57, 0, 0, .427, 11, 5, 24, 559, 4.203, .331, .023, .227, .139, .139, 0, 
