Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, HOU, AL, 7, 22, 21, 3, 4, 1, 0, 1, 3, 1, 7, 0, 0, 0, .190, .227, .381, .608, 8, 19, 0, 0, .231, 2, 2, 3, 97, 4.409, .318, .045, .143, .190, .190, 0
1 Season, 7, 22, 21, 3, 4, 1, 0, 1, 3, 1, 7, 0, 0, 0, .190, .227, .381, .608, 22, 8, 19, 0, 0, .231, 2, 2, 3, 97, 4.409, .318, .045, .143, .190, .190, 0
