2014, CIN, NL, 21, 60, 54, 3, 10, 0, 0, 1, 1, 4, 10, 0, 0, 0, .185, .241, .241, .482, 
2015, CIN, NL, 81, 274, 242, 23, 61, 9, 0, 3, 18, 25, 45, 0, 1, 2, .252, .324, .326, .650, 
2016, CIN, NL, 115, 420, 377, 34, 97, 23, 1, 7, 51, 36, 72, 1, 0, 2, .257, .323, .379, .702, 
2017, CIN, NL, 121, 423, 370, 26, 100, 24, 2, 7, 44, 42, 68, 4, 0, 3, .270, .347, .403, .750, 
2018, CIN, NL, 138, 522, 460, 50, 114, 21, 3, 10, 46, 54, 96, 0, 4, 2, .248, .328, .372, .699, 
2019, CIN, NL, 114, 364, 316, 32, 73, 14, 0, 11, 40, 44, 83, 1, 0, 2, .231, .328, .380, .708, 
2020, CIN, NL, 14, 47, 44, 2, 8, 1, 0, 1, 5, 3, 12, 0, 0, 0, .182, .234, .273, .507, 
7 Seasons, 604, 2110, 1863, 170, 463, 92, 6, 40, 205, 208, 386, 6, 5, 11, .249, .326, .369, .694, 
2014, CIN, NL, 60, 13, 26, 2, 0, .209, 1, 0, 7, 204, 3.400, .167, .017, .400, .056, .056, 0, 
2015, CIN, NL, 274, 79, 102, 2, 3, .294, 12, 10, 43, 958, 3.496, .164, .011, .556, .074, .074, 0, 
2016, CIN, NL, 420, 143, 144, 2, 3, .299, 31, 12, 57, 1510, 3.595, .171, .017, .500, .122, .122, 1, 
2017, CIN, NL, 423, 149, 157, 5, 3, .312, 33, 12, 75, 1542, 3.645, .161, .017, .618, .132, .132, 0, 
2018, CIN, NL, 522, 171, 224, 3, 3, .291, 34, 13, 75, 1958, 3.751, .184, .019, .563, .124, .124, 0, 
2019, CIN, NL, 364, 120, 119, 1, 1, .278, 25, 5, 39, 1413, 3.882, .228, .030, .530, .149, .149, 0, 
2020, CIN, NL, 47, 12, 11, 0, 0, .226, 2, 1, 5, 181, 3.851, .255, .021, .250, .091, .091, 0, 
2110, 687, 783, 15, 13, .292, 138, 53, 301, 7766, 3.681, .183, .019, .539, .120, .120, 1, 
