Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2014, KC, AL, 11, 2, 1, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, .000, .500, .000, .500, 2, 0, 0, 0, 0, .000, 0, 0, 0, 12, 6.000, .000, .000, .---, .000, .000, 0
2015, KC, AL, 9, 4, 3, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 1, .000, .250, .000, .250, 4, 0, 3, 0, 0, .000, 0, 0, 1, 12, 3.000, .250, .000, .---, .000, .000, 0
2016, KC, AL, 17, 3, 3, 6, 0, 0, 0, 0, 0, 0, 1, 11, 2, 0, .000, .000, .000, .000, 3, 0, 3, 0, 0, .000, 0, 0, 0, 10, 3.333, .333, .000, .---, .000, .000, 1
2017, KC, AL, 12, 5, 4, 2, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, .000, .200, .000, .200, 5, 0, 2, 0, 0, .000, 0, 0, 1, 22, 4.400, .400, .000, .500, .000, .000, 0
2018, CHC, NL, 14, 5, 5, 5, 1, 0, 0, 0, 0, 0, 1, 6, 0, 0, .200, .200, .200, .400, 5, 1, 4, 0, 0, .250, 0, 0, 2, 19, 3.800, .200, .000, .---, .000, .000, 0
2019, KC, AL, 37, 58, 51, 13, 14, 2, 1, 0, 1, 6, 18, 13, 5, 1, .275, .362, .353, .715, 58, 18, 14, 0, 0, .424, 3, 0, 7, 233, 4.017, .310, .000, .333, .078, .078, 0
2020, LAD, NL, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
7 Seasons, 102, 77, 67, 32, 15, 2, 1, 0, 1, 7, 23, 40, 9, 3, .224, .325, .284, .608, 77, 19, 26, 0, 0, .341, 3, 0, 11, 308, 4.000, .299, .000, .304, .060, .060, 1
