Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2015, TEX, AL, 41, 104, 99, 12, 22, 2, 1, 0, 4, 2, 17, 1, 0, 0, .222, .238, .263, .500, 26, 46, 3, 0, .268, 3, 2, 20, 345, 3.317, .163, .000, .118, .040, .040, 0
2016, TEX, AL, 35, 58, 56, 2, 8, 1, 0, 0, 5, 0, 17, 1, 0, 0, .143, .143, .161, .304, 9, 23, 2, 0, .205, 1, 1, 7, 177, 3.052, .293, .000, .---, .018, .018, 0
2018, TEX, AL, 13, 30, 27, 0, 5, 2, 0, 0, 0, 2, 4, 0, 1, 0, .185, .241, .259, .501, 7, 10, 1, 0, .217, 2, 0, 2, 103, 3.433, .133, .000, .500, .074, .074, 0
2019, BAL, AL, 139, 550, 524, 62, 160, 21, 2, 12, 51, 16, 50, 4, 4, 4, .305, .329, .422, .751, 221, 179, 3, 3, .318, 35, 9, 63, 1762, 3.204, .091, .022, .320, .116, .116, 0
2020, BAL, AL, 40, 174, 165, 28, 51, 12, 0, 2, 15, 5, 22, 2, 0, 1, .309, .331, .418, .750, 69, 55, 2, 1, .345, 14, 3, 28, 579, 3.328, .126, .011, .227, .109, .109, 0
5 Seasons, 268, 916, 871, 104, 246, 38, 3, 14, 75, 25, 110, 8, 5, 5, .282, .305, .381, .686, 916, 332, 313, 11, 4, .309, 55, 15, 120, 2966, 3.238, .120, .015, .227, .099, .099, 0
