Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2016, COL, NL, 13, 19, 19, 3, 5, 1, 0, 1, 2, 0, 8, 0, 0, 0, .263, .263, .474, .737, 9, 9, 0, 0, .400, 2, 0, 2, 73, 3.842, .421, .053, .---, .211, .211, 0
2017, COL, NL, 110, 195, 182, 28, 47, 11, 0, 13, 40, 7, 53, 0, 0, 0, .258, .284, .533, .817, 97, 96, 5, 1, .291, 24, 1, 38, 686, 3.518, .272, .067, .132, .275, .275, 0
2018, COL, NL, 68, 133, 122, 8, 19, 5, 0, 2, 5, 9, 30, 0, 0, 0, .156, .214, .246, .460, 30, 64, 2, 0, .189, 7, 4, 17, 477, 3.586, .226, .015, .300, .090, .090, 0
2019, COL, NL, 40, 86, 79, 11, 15, 5, 1, 1, 4, 7, 34, 0, 0, 0, .190, .256, .316, .572, 25, 28, 0, 0, .318, 7, 1, 10, 322, 3.744, .395, .012, .206, .127, .127, 0
2020, BAL, AL, 40, 114, 107, 17, 28, 3, 0, 6, 13, 6, 24, 0, 1, 0, .262, .301, .458, .759, 49, 55, 1, 0, .286, 9, 2, 15, 446, 3.912, .211, .053, .250, .196, .196, 1
5 Seasons, 271, 547, 509, 67, 114, 25, 1, 23, 64, 29, 149, 0, 1, 0, .224, .265, .413, .678, 547, 210, 252, 8, 1, .269, 49, 8, 82, 2004, 3.664, .272, .042, .195, .189, .189, 1
