2019, TB, AL, 50, 142, 132, 17, 36, 7, 0, 6, 16, 7, 39, 1, 0, 2, .273, .319, .462, .781, 
2020, TB, AL, 24, 58, 52, 9, 17, 4, 0, 5, 10, 5, 17, 0, 0, 0, .327, .379, .692, 1.072, 
2 Seasons, 74, 200, 184, 26, 53, 11, 0, 11, 26, 12, 56, 1, 0, 2, .288, .337, .527, .864, 
2019, TB, AL, 142, 61, 50, 1, 0, .345, 13, 3, 25, 593, 4.176, .275, .042, .179, .189, .189, 1, 
2020, TB, AL, 58, 36, 19, 0, 1, .387, 9, 0, 9, 223, 3.845, .293, .086, .294, .365, .365, 0, 
200, 97, 69, 1, 1, .356, 22, 3, 34, 816, 4.080, .280, .055, .214, .239, .239, 1, 
