Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, TB, AL, 37, 132, 110, 21, 22, 4, 0, 7, 21, 20, 32, 0, 0, 1, .200, .326, .427, .753, 47, 59, 0, 1, .208, 11, 4, 19, 613, 4.644, .242, .053, .625, .227, .227, 0
1 Season, 37, 132, 110, 21, 22, 4, 0, 7, 21, 20, 32, 0, 0, 1, .200, .326, .427, .753, 132, 47, 59, 0, 1, .208, 11, 4, 19, 613, 4.644, .242, .053, .625, .227, .227, 0
