2017, CLE, AL, 49, 179, 156, 25, 41, 8, 1, 0, 13, 21, 35, 2, 0, 1, .263, .352, .327, .679, 
2018, CLE, AL, 39, 120, 109, 15, 34, 5, 2, 1, 15, 11, 19, 0, 0, 0, .312, .375, .422, .797, 
2019, TB, AL, 79, 347, 307, 53, 82, 20, 1, 14, 38, 35, 61, 2, 2, 1, .267, .340, .476, .816, 
2020, TB, AL, 34, 138, 114, 16, 35, 3, 0, 2, 11, 23, 17, 0, 0, 1, .307, .428, .386, .814, 
4 Seasons, 201, 784, 686, 109, 192, 36, 4, 17, 77, 90, 132, 4, 2, 3, .280, .364, .418, .782, 
2017, CLE, AL, 179, 51, 82, 0, 1, .336, 9, 5, 27, 719, 4.017, .196, .000, .600, .064, .064, 0, 
2018, CLE, AL, 120, 46, 59, 0, 0, .371, 8, 6, 19, 470, 3.917, .158, .008, .579, .110, .110, 0, 
2019, TB, AL, 347, 146, 138, 0, 4, .288, 35, 9, 41, 1309, 3.772, .176, .040, .574, .208, .208, 0, 
2020, TB, AL, 138, 44, 43, 0, 0, .347, 5, 6, 19, 573, 4.152, .123, .014, 1.353, .079, .079, 0, 
784, 287, 322, 0, 5, .323, 57, 26, 106, 3071, 3.917, .168, .022, .682, .138, .138, 0, 
