Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2016, COL, NL, 63, 237, 222, 42, 70, 12, 4, 7, 24, 15, 59, 5, 0, 0, .315, .359, .500, .859, 237, 111, 91, 0, 0, .404, 23, 3, 32, 915, 3.861, .249, .030, .254, .185, .185, 0
2018, COL, NL, 77, 271, 249, 31, 68, 11, 3, 16, 48, 19, 68, 5, 3, 1, .273, .325, .534, .859, 271, 133, 110, 0, 2, .311, 30, 4, 34, 992, 3.661, .251, .059, .279, .261, .261, 0
2019, COL, NL, 100, 413, 374, 67, 113, 28, 5, 15, 61, 28, 110, 4, 4, 4, .302, .353, .524, .877, 413, 196, 134, 2, 5, .386, 48, 3, 54, 1605, 3.886, .266, .036, .255, .222, .222, 0
2020, COL, NL, 19, 80, 74, 8, 14, 2, 1, 0, 7, 4, 21, 1, 0, 1, .189, .238, .243, .481, 80, 18, 25, 0, 1, .259, 3, 0, 7, 311, 3.888, .263, .000, .190, .054, .054, 0
4 Seasons, 259, 1001, 919, 148, 265, 53, 13, 38, 140, 66, 258, 15, 7, 6, .288, .337, .498, .836, 1001, 458, 360, 2, 8, .360, 104, 10, 127, 3823, 3.819, .258, .038, .256, .210, .210, 0
