2015, PIT, NL, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 
2016, PIT, NL, 1, 4, 4, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, .000, .000, .000, .000, 
2017, PIT, NL, 64, 200, 188, 18, 42, 14, 0, 1, 19, 11, 38, 1, 0, 0, .223, .265, .314, .579, 
2018, PIT, NL, 82, 277, 252, 33, 72, 12, 0, 10, 34, 21, 40, 0, 1, 1, .286, .339, .452, .792, 
2019, PIT, NL, 101, 332, 303, 31, 73, 14, 0, 2, 28, 23, 56, 0, 0, 2, .241, .296, .307, .603, 
2020, COL, NL, 5, 13, 13, 1, 3, 1, 0, 0, 0, 0, 2, 0, 0, 0, .231, .231, .308, .538, 
6 Seasons, 255, 828, 762, 83, 190, 41, 0, 13, 82, 55, 138, 1, 1, 3, .249, .300, .354, .654, 
2015, PIT, NL, 2, 0, 1, 0, 0, .000, 0, 0, 0, 5, 2.500, .500, .000, .---, .000, .000, 0, 
2016, PIT, NL, 4, 0, 3, 0, 0, .000, 0, 0, 1, 23, 5.750, .250, .000, .---, .000, .000, 0, 
2017, PIT, NL, 200, 59, 97, 0, 1, .273, 15, 8, 33, 756, 3.780, .190, .005, .289, .090, .090, 0, 
2018, PIT, NL, 277, 114, 86, 0, 3, .302, 22, 4, 28, 1098, 3.964, .144, .036, .525, .167, .167, 0, 
2019, PIT, NL, 332, 93, 127, 1, 3, .286, 16, 11, 58, 1370, 4.127, .169, .006, .411, .066, .066, 0, 
2020, COL, NL, 13, 4, 7, 0, 0, .273, 1, 1, 3, 47, 3.615, .154, .000, .---, .077, .077, 0, 
828, 270, 321, 1, 7, .286, 54, 24, 123, 3299, 3.984, .167, .016, .399, .105, .105, 0, 
