Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2016, COL, NL, 71, 230, 205, 27, 53, 15, 2, 3, 30, 21, 53, 4, 1, 0, .259, .327, .395, .723, 230, 81, 82, 4, 0, .336, 20, 1, 29, 876, 3.809, .230, .013, .396, .137, .137, 0
2017, COL, NL, 83, 266, 229, 30, 55, 8, 1, 0, 16, 33, 55, 0, 1, 2, .240, .341, .284, .625, 266, 65, 85, 2, 0, .316, 9, 9, 33, 1035, 3.891, .207, .000, .600, .044, .044, 0
2018, COL, NL, 74, 216, 182, 19, 31, 4, 4, 3, 27, 26, 33, 2, 0, 6, .170, .292, .286, .577, 216, 52, 83, 0, 2, .189, 11, 6, 34, 808, 3.741, .153, .014, .788, .115, .115, 1
2019, COL, NL, 121, 411, 359, 42, 94, 17, 2, 1, 42, 36, 68, 0, 1, 8, .262, .337, .329, .666, 411, 118, 157, 2, 6, .314, 20, 9, 54, 1546, 3.762, .165, .002, .529, .067, .067, 1
2020, COL, NL, 34, 90, 84, 7, 18, 3, 0, 0, 7, 4, 24, 0, 0, 0, .214, .250, .250, .500, 90, 21, 25, 2, 0, .300, 3, 0, 13, 331, 3.678, .267, .000, .167, .036, .036, 0
5 Seasons, 382, 1210, 1057, 124, 251, 47, 9, 7, 122, 119, 231, 6, 3, 16, .237, .322, .319, .640, 1210, 337, 432, 10, 8, .295, 63, 25, 163, 4586, 3.790, .191, .006, .515, .081, .081, 2
