Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2017, LAD, NL, 15, 25, 23, 1, 4, 0, 0, 1, 1, 2, 4, 0, 1, 0, .174, .240, .304, .544, 7, 11, 0, 0, .167, 1, 1, 1, 101, 4.040, .160, .040, .500, .130, .130, 0
2018, LAD, NL, 37, 86, 77, 11, 20, 6, 0, 1, 4, 8, 14, 0, 0, 0, .260, .329, .377, .706, 29, 40, 1, 0, .306, 7, 4, 12, 347, 4.035, .163, .012, .571, .117, .117, 0
2019, LAD, NL, 106, 377, 343, 43, 101, 22, 2, 12, 44, 26, 49, 4, 1, 2, .294, .342, .475, .817, 163, 139, 0, 6, .309, 36, 8, 61, 1468, 3.894, .130, .032, .531, .181, .181, 2
2020, BOS, AL, 43, 175, 160, 30, 50, 14, 0, 6, 14, 13, 36, 3, 0, 2, .313, .371, .513, .884, 82, 46, 0, 0, .373, 20, 3, 17, 745, 4.257, .206, .034, .361, .200, .200, 0
4 Seasons, 201, 663, 603, 85, 175, 42, 2, 20, 63, 49, 103, 7, 2, 4, .290, .344, .466, .810, 663, 281, 236, 1, 6, .319, 64, 16, 91, 2661, 4.014, .155, .030, .476, .176, .176, 2
