Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2014, LAD, NL, 85, 162, 149, 16, 27, 3, 0, 1, 9, 10, 28, 0, 0, 2, .181, .242, .221, .464, 162, 33, 74, 1, 0, .217, 4, 5, 22, 611, 3.772, .173, .006, .357, .040, .040, 0
2015, MIA, NL, 60, 157, 142, 13, 40, 7, 1, 1, 17, 11, 16, 0, 1, 0, .282, .329, .366, .695, 157, 52, 58, 2, 2, .307, 9, 4, 23, 561, 3.573, .102, .006, .688, .085, .085, 0
2016, MIA, NL, 123, 214, 194, 27, 48, 12, 0, 1, 14, 11, 27, 2, 1, 1, .247, .288, .325, .613, 214, 63, 82, 6, 2, .280, 13, 10, 30, 812, 3.794, .126, .005, .407, .077, .077, 0
2017, MIA, NL, 90, 306, 272, 37, 79, 16, 2, 1, 26, 27, 32, 2, 1, 4, .290, .361, .375, .736, 306, 102, 103, 1, 2, .324, 19, 6, 43, 1121, 3.663, .105, .003, .844, .085, .085, 1
2018, MIA, NL, 153, 528, 488, 44, 123, 13, 0, 11, 53, 24, 69, 6, 3, 9, .252, .297, .346, .643, 528, 169, 191, 2, 4, .272, 24, 23, 105, 1960, 3.712, .131, .021, .348, .094, .094, 1
2019, MIA, NL, 132, 526, 483, 52, 137, 29, 1, 5, 46, 32, 62, 9, 5, 5, .284, .331, .379, .710, 526, 183, 172, 1, 5, .314, 35, 15, 74, 1867, 3.549, .118, .010, .516, .095, .095, 0
2020, MIA, NL, 24, 84, 73, 11, 25, 6, 1, 2, 14, 9, 11, 3, 1, 2, .342, .429, .534, .963, 84, 39, 20, 0, 0, .383, 9, 0, 14, 329, 3.917, .131, .024, .818, .192, .192, 0
7 Seasons, 666, 1974, 1798, 199, 478, 86, 5, 22, 179, 124, 245, 22, 12, 23, .266, .319, .356, .675, 1974, 640, 698, 13, 15, .295, 113, 63, 310, 7251, 3.673, .124, .011, .506, .090, .090, 2
