Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, MIA, NL, 10, 29, 25, 1, 1, 1, 0, 0, 2, 4, 11, 0, 0, 0, .040, .172, .080, .252, 2, 16, 0, 0, .071, 1, 1, 3, 125, 4.310, .379, .000, .364, .040, .040, 0
1 Season, 10, 29, 25, 1, 1, 1, 0, 0, 2, 4, 11, 0, 0, 0, .040, .172, .080, .252, 29, 2, 16, 0, 0, .071, 1, 1, 3, 125, 4.310, .379, .000, .364, .040, .040, 0
