Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2017, MIA, NL, 25, 95, 84, 11, 22, 7, 1, 0, 8, 10, 28, 0, 0, 0, .262, .337, .369, .706, 31, 38, 0, 1, .386, 8, 1, 9, 384, 4.042, .295, .000, .357, .107, .107, 0
2018, MIA, NL, 156, 670, 590, 87, 161, 34, 4, 11, 65, 62, 129, 2, 4, 16, .273, .357, .400, .757, 236, 236, 0, 2, .332, 49, 18, 103, 2641, 3.942, .193, .016, .481, .127, .127, 1
2019, MIA, NL, 126, 520, 459, 57, 120, 33, 1, 20, 66, 44, 114, 5, 1, 14, .261, .342, .468, .811, 215, 172, 0, 3, .305, 54, 15, 83, 1925, 3.702, .219, .038, .386, .207, .207, 1
2020, MIA, NL, 41, 159, 135, 17, 36, 5, 1, 5, 21, 18, 46, 0, 0, 5, .267, .371, .430, .801, 58, 56, 0, 1, .365, 11, 1, 15, 610, 3.836, .289, .031, .391, .163, .163, 0
4 Seasons, 348, 1444, 1268, 172, 339, 79, 7, 36, 160, 134, 317, 7, 5, 35, .267, .352, .426, .778, 1444, 540, 502, 0, 7, .329, 122, 35, 210, 5560, 3.850, .220, .025, .423, .159, .159, 2
