Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2015, WSH, NL, 15, 11, 11, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, .182, .182, .182, .364, 2, 4, 0, 0, .222, 0, 0, 2, 30, 2.727, .182, .000, .---, .000, .000, 0
2016, WSH, NL, 31, 66, 58, 14, 16, 3, 0, 1, 7, 8, 12, 3, 0, 0, .276, .364, .379, .743, 22, 20, 0, 0, .333, 4, 0, 8, 237, 3.591, .182, .015, .667, .103, .103, 0
2017, WSH, NL, 124, 365, 332, 47, 90, 10, 4, 5, 21, 24, 74, 10, 1, 1, .271, .319, .370, .690, 123, 110, 5, 3, .332, 19, 7, 41, 1344, 3.682, .203, .014, .324, .099, .099, 0
2018, WSH, NL, 148, 456, 408, 55, 94, 14, 7, 7, 42, 39, 82, 10, 3, 2, .230, .298, .350, .649, 143, 192, 3, 4, .269, 28, 8, 65, 1816, 3.982, .180, .015, .476, .120, .120, 1
2019, WSH, NL, 43, 144, 131, 15, 33, 2, 0, 2, 8, 12, 29, 0, 1, 0, .252, .315, .313, .628, 41, 46, 1, 0, .310, 4, 2, 14, 552, 3.833, .201, .014, .414, .061, .061, 0
2020, WSH, NL, 12, 18, 14, 1, 1, 0, 0, 0, 1, 3, 4, 0, 0, 0, .071, .222, .071, .294, 1, 4, 0, 1, .091, 0, 0, 0, 83, 4.611, .222, .000, .750, .000, .000, 0
6 Seasons, 373, 1060, 954, 133, 236, 29, 11, 15, 79, 86, 203, 23, 5, 3, .247, .309, .348, .657, 1060, 332, 376, 9, 8, .297, 55, 17, 130, 4062, 3.832, .192, .014, .424, .101, .101, 1
