Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2019, WSH, NL, 11, 43, 39, 4, 5, 0, 0, 2, 2, 4, 16, 0, 0, 0, .128, .209, .282, .491, 11, 21, 0, 0, .143, 2, 0, 3, 168, 3.907, .372, .047, .250, .154, .154, 0
2020, WSH, NL, 23, 90, 72, 11, 13, 1, 0, 0, 8, 14, 25, 0, 0, 3, .181, .333, .194, .528, 14, 38, 0, 1, .271, 1, 4, 11, 380, 4.222, .278, .000, .560, .014, .014, 0
2 Seasons, 33, 128, 107, 15, 18, 1, 0, 2, 10, 17, 40, 0, 0, 3, .168, .297, .234, .531, 128, 25, 58, 0, 1, .242, 3, 4, 14, 531, 4.148, .313, .016, .425, .065, .065, 0
