2016, 2 Teams, 33, 57, 48, 9, 9, 2, 0, 1, 5, 6, 16, 0, 0, 0, .188, .278, .292, .569, 14, 19, 3, 0, .258, 3, 1, 8, 222, 3.895, .281, .018, .375, .104, .104, 0, 
2016, NYY, AL, 6, 10, 8, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, .125, .222, .125, .347, 10, 1, 4, 1, 0, .143, 0, 1, 2, 36, 3.600, .100, .000, 1.000, .000, .000, 0, 
2016, SEA, AL, 27, 47, 40, 8, 8, 2, 0, 1, 5, 5, 15, 0, 0, 0, .200, .289, .325, .614, 47, 13, 15, 2, 0, .292, 3, 0, 6, 186, 3.957, .319, .021, .333, .125, .125, 0, 
2017, SEA, AL, 134, 550, 509, 68, 140, 27, 5, 11, 59, 36, 122, 4, 1, 1, .275, .322, .413, .735, 550, 210, 184, 1, 3, .340, 43, 8, 71, 2188, 3.978, .222, .020, .295, .138, .138, 0, 
2018, SEA, AL, 101, 293, 257, 37, 70, 14, 4, 1, 19, 31, 61, 7, 3, 4, .272, .358, .370, .728, 293, 95, 88, 0, 1, .352, 19, 4, 36, 1193, 4.072, .208, .003, .508, .097, .097, 0, 
2019, MIL, NL, 134, 356, 311, 47, 77, 18, 0, 7, 33, 40, 104, 2, 2, 3, .248, .337, .373, .710, 356, 116, 111, 0, 2, .347, 25, 0, 33, 1512, 4.247, .292, .020, .385, .125, .125, 1, 
2020, MIL, NL, 33, 111, 99, 10, 24, 5, 1, 3, 10, 12, 37, 0, 2, 0, .242, .324, .404, .728, 111, 40, 40, 0, 0, .356, 9, 3, 11, 446, 4.018, .333, .027, .324, .162, .162, 0, 
5 Seasons, 435, 1367, 1224, 171, 320, 66, 10, 23, 126, 125, 340, 13, 8, 8, .261, .332, .388, .720, 1367, 475, 442, 4, 6, .343, 99, 16, 159, 5561, 4.068, .249, .017, .368, .127, .127, 1, 
