2016, CWS, AL, 34, 117, 101, 13, 27, 4, 0, 1, 10, 14, 14, 0, 0, 0, .267, .350, .337, .687, 
2017, CWS, AL, 90, 295, 253, 23, 70, 10, 0, 2, 14, 38, 45, 0, 0, 1, .277, .373, .340, .713, 
2018, CWS, AL, 97, 322, 280, 30, 77, 14, 1, 9, 30, 38, 65, 0, 2, 2, .275, .366, .429, .794, 
2019, SEA, AL, 132, 482, 428, 63, 119, 12, 0, 22, 55, 47, 92, 0, 0, 4, .278, .353, .460, .813, 
2020, MIL, NL, 28, 92, 80, 6, 14, 4, 0, 2, 6, 10, 30, 0, 0, 2, .175, .283, .300, .583, 
5 Seasons, 381, 1308, 1142, 135, 307, 44, 1, 36, 115, 147, 246, 0, 2, 9, .269, .355, .404, .759, 
2016, CWS, AL, 117, 34, 33, 0, 2, .295, 5, 0, 14, 460, 3.932, .120, .009, 1.000, .069, .069, 0, 
2017, CWS, AL, 295, 86, 92, 3, 0, .330, 12, 8, 44, 1201, 4.071, .153, .007, .844, .063, .063, 0, 
2018, CWS, AL, 322, 120, 107, 2, 0, .330, 24, 5, 27, 1311, 4.071, .202, .028, .585, .154, .154, 0, 
2019, SEA, AL, 482, 197, 188, 0, 3, .306, 34, 5, 59, 1979, 4.106, .191, .046, .511, .182, .182, 2, 
2020, MIL, NL, 92, 24, 30, 0, 0, .250, 6, 0, 11, 403, 4.380, .326, .022, .333, .125, .125, 0, 
1308, 461, 450, 5, 5, .313, 81, 18, 155, 5354, 4.093, .188, .028, .598, .135, .135, 2, 
