Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2013, HOU, AL, 63, 288, 257, 29, 69, 14, 0, 4, 21, 23, 70, 6, 7, 2, .268, .332, .370, .702, 288, 95, 66, 5, 1, .353, 18, 2, 28, 1073, 3.726, .243, .014, .329, .101, .101, 0
2014, HOU, AL, 103, 422, 360, 42, 84, 14, 2, 6, 37, 55, 105, 9, 3, 2, .233, .337, .333, .670, 422, 120, 118, 3, 2, .311, 22, 7, 40, 1776, 4.209, .249, .014, .524, .100, .100, 0
2015, HOU, AL, 24, 54, 49, 7, 7, 2, 0, 1, 5, 5, 17, 0, 0, 0, .143, .222, .245, .467, 54, 12, 14, 0, 0, .194, 3, 0, 4, 216, 4.000, .315, .019, .294, .102, .102, 0
2016, MIN, AL, 99, 389, 332, 49, 93, 19, 1, 11, 37, 55, 96, 2, 3, 2, .280, .386, .443, .828, 389, 147, 124, 0, 0, .364, 31, 3, 36, 1618, 4.159, .247, .028, .573, .163, .163, 0
2017, MIN, AL, 119, 456, 382, 62, 94, 22, 1, 9, 45, 67, 79, 3, 1, 3, .246, .361, .380, .741, 456, 145, 156, 2, 2, .287, 32, 6, 67, 1822, 3.996, .173, .020, .848, .134, .134, 0
2018, MIN, AL, 129, 465, 396, 50, 108, 27, 1, 5, 48, 60, 83, 0, 1, 2, .273, .367, .384, .751, 465, 152, 162, 2, 5, .329, 33, 2, 51, 1908, 4.103, .178, .011, .723, .111, .111, 0
2019, OAK, AL, 138, 482, 420, 57, 101, 21, 3, 6, 38, 59, 86, 9, 4, 1, .240, .334, .348, .682, 482, 146, 142, 0, 2, .288, 30, 7, 54, 1896, 3.934, .178, .012, .686, .107, .107, 1
2020, OAK, AL, 37, 144, 119, 17, 30, 11, 2, 5, 17, 20, 25, 5, 1, 5, .252, .382, .504, .886, 144, 60, 48, 0, 0, .281, 18, 1, 16, 565, 3.924, .174, .035, .800, .252, .252, 0
8 Seasons, 711, 2696, 2312, 312, 585, 130, 10, 46, 247, 343, 561, 34, 20, 17, .253, .352, .378, .730, 2696, 873, 829, 12, 12, .314, 186, 28, 296, 10860, 4.028, .208, .017, .611, .125, .125, 1
