Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2015, OAK, AL, 124, 485, 441, 61, 112, 22, 3, 16, 70, 33, 96, 7, 2, 8, .254, .315, .426, .742, 188, 177, 0, 3, .289, 41, 9, 72, 1892, 3.901, .198, .033, .344, .172, .172, 1
2016, OAK, AL, 16, 44, 41, 4, 5, 0, 0, 3, 6, 0, 20, 0, 1, 1, .122, .140, .341, .481, 14, 20, 1, 1, .105, 3, 1, 4, 172, 3.909, .455, .068, .---, .220, .220, 0
2017, OAK, AL, 57, 187, 173, 16, 36, 13, 1, 5, 14, 7, 56, 2, 0, 6, .208, .262, .382, .644, 66, 76, 0, 1, .274, 19, 5, 22, 822, 4.396, .299, .027, .125, .173, .173, 2
2018, OAK, AL, 122, 411, 365, 60, 91, 22, 0, 17, 52, 34, 88, 1, 2, 10, .249, .328, .449, .778, 164, 150, 0, 2, .282, 39, 11, 59, 1735, 4.221, .214, .041, .386, .200, .200, 0
2019, OAK, AL, 126, 497, 410, 80, 112, 16, 3, 26, 58, 67, 107, 3, 2, 18, .273, .396, .517, .914, 212, 178, 0, 2, .308, 45, 10, 56, 2106, 4.237, .215, .052, .626, .244, .244, 1
2020, OAK, AL, 42, 177, 138, 23, 34, 9, 1, 3, 22, 27, 43, 4, 0, 8, .246, .390, .391, .781, 54, 46, 0, 4, .323, 13, 0, 13, 805, 4.548, .243, .017, .628, .145, .145, 1
6 Seasons, 486, 1796, 1565, 244, 390, 82, 8, 70, 221, 167, 409, 17, 7, 51, .249, .339, .446, .785, 1796, 698, 647, 1, 12, .291, 160, 36, 225, 7513, 4.183, .228, .039, .408, .197, .197, 5
