Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2016, HOU, AL, 59, 136, 120, 15, 26, 4, 3, 1, 7, 14, 27, 2, 1, 0, .217, .296, .325, .621, 136, 39, 49, 1, 1, .269, 8, 5, 18, 496, 3.647, .199, .007, .519, .108, .108, 0
2017, HOU, AL, 17, 39, 37, 6, 8, 1, 0, 0, 4, 1, 5, 1, 0, 1, .216, .256, .243, .500, 39, 9, 13, 0, 0, .250, 1, 0, 4, 137, 3.513, .128, .000, .200, .027, .027, 0
2018, HOU, AL, 97, 295, 255, 37, 67, 15, 0, 6, 30, 32, 44, 9, 3, 3, .263, .351, .392, .743, 295, 100, 74, 3, 1, .296, 21, 7, 38, 1068, 3.620, .149, .020, .727, .129, .129, 0
2019, 2 Teams, 110, 279, 245, 31, 52, 9, 4, 8, 29, 23, 47, 4, 4, 6, .212, .291, .380, .671, 93, 92, 1, 4, .227, 1005
2019, CHC, NL, 44, 93, 82, 8, 15, 3, 2, 1, 12, 7, 18, 0, 1, 2, .183, .258, .305, .563, 93, 25, 25, 0, 2, .215, 6, 2, 12, 340, 3.656, .194, .011, .389, .122, .122, 0
2019, HOU, AL, 66, 186, 163, 23, 37, 6, 2, 7, 17, 16, 29, 4, 3, 4, .227, .308, .417, .725, 186, 68, 67, 1, 2, .233, 15, 2, 17, 665, 3.575, .156, .038, .552, .190, .190, 1
2020, OAK, AL, 34, 87, 70, 11, 18, 3, 0, 0, 3, 13, 14, 2, 1, 2, .257, .384, .300, .684, 87, 21, 28, 1, 1, .316, 3, 0, 8, 327, 3.759, .161, .000, .929, .043, .043, 0
5 Seasons, 317, 836, 727, 100, 171, 32, 7, 15, 73, 83, 137, 18, 9, 12, .235, .321, .360, .681, 836, 262, 256, 6, 7, .268, 54, 16, 97, 3033, 3.628, .164, .018, .606, .125, .125, 1
