2013, MIL, NL, 56, 153, 136, 27, 38, 10, 0, 11, 27, 11, 34, 3, 0, 5, .279, .353, .596, .949, 
2014, MIL, NL, 144, 549, 501, 70, 122, 37, 2, 22, 69, 32, 122, 4, 1, 10, .244, .299, .457, .756, 
2015, MIL, NL, 121, 440, 392, 54, 97, 16, 2, 27, 66, 44, 122, 6, 2, 1, .247, .323, .505, .828, 
2016, OAK, AL, 150, 610, 555, 85, 137, 24, 2, 42, 102, 42, 166, 1, 2, 8, .247, .307, .524, .831, 
2017, OAK, AL, 153, 652, 566, 91, 140, 28, 1, 43, 110, 73, 195, 4, 0, 6, .247, .336, .528, .864, 
2018, OAK, AL, 151, 654, 576, 98, 142, 28, 1, 48, 123, 59, 175, 0, 0, 12, .247, .326, .549, .874, 
2019, OAK, AL, 133, 533, 481, 61, 106, 11, 0, 23, 73, 47, 146, 0, 0, 3, .220, .293, .387, .679, 
2020, OAK, AL, 19, 67, 58, 5, 9, 2, 0, 1, 6, 6, 19, 0, 0, 3, .155, .269, .241, .510, 
8 Seasons, 927, 3658, 3265, 491, 791, 156, 8, 217, 576, 314, 979, 18, 5, 48, .242, .315, .494, .810, 
2013, MIL, NL, 153, 81, 65, 0, 1, .293, 21, 4, 21, 620, 4.052, .222, .072, .324, .316, .316, 0, 
2014, MIL, NL, 549, 229, 233, 0, 6, .275, 61, 13, 83, 2069, 3.769, .222, .040, .262, .214, .214, 1, 
2015, MIL, NL, 440, 198, 169, 0, 3, .285, 45, 9, 50, 1777, 4.039, .277, .061, .361, .258, .258, 0, 
2016, OAK, AL, 610, 291, 266, 0, 5, .270, 68, 19, 89, 2331, 3.821, .272, .069, .253, .277, .277, 2, 
2017, OAK, AL, 652, 299, 252, 0, 7, .290, 72, 20, 88, 2591, 3.974, .299, .066, .374, .281, .281, 2, 
2018, OAK, AL, 654, 316, 267, 0, 7, .261, 77, 16, 91, 2514, 3.844, .268, .073, .337, .302, .302, 2, 
2019, OAK, AL, 533, 186, 242, 0, 2, .264, 34, 11, 59, 2066, 3.876, .274, .043, .322, .166, .166, 1, 
2020, OAK, AL, 67, 14, 39, 0, 0, .211, 3, 4, 10, 269, 4.015, .284, .015, .316, .086, .086, 0, 
3658, 1614, 1533, 0, 31, .273, 381, 96, 491, 14237, 3.892, .268, .059, .321, .252, .252, 8, 
