Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2020, OAK, AL, 18, 55, 49, 7, 10, 1, 0, 0, 0, 6, 9, 0, 0, 0, .204, .291, .224, .515, 11, 25, 0, 0, .250, 1, 2, 6, 218, 3.964, .164, .000, .667, .020, .020, 0
1 Season, 17, 50, 44, 6, 9, 1, 0, 0, 0, 6, 9, 0, 0, 0, .205, .300, .227, .527, 50, 10, 21, 0, 0, .257, 1, 2, 5, 205, 4.100, .180, .000, .667, .023, .023, 0
