Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2013, BAL, AL, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2014, BAL, AL, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 1, 0, 0, 1, 0, .---, 0, 0, 1, 2, 2.000, .000, .000, .---, 0
2015, BAL, AL, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2016, BAL, AL, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
2017, ARI, NL, 41, 5, 5, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, .200, .200, .200, .400, 5, 1, 1, 0, 0, .500, 0, 0, 0, 21, 4.200, .600, .000, .---, .000, .000, 0
2018, ARI, NL, 46, 7, 7, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, .000, .000, .000, .000, 7, 0, 3, 0, 0, .000, 0, 0, 0, 31, 4.429, .857, .000, .---, .000, .000, 0
2019, ARI, NL, 47, 5, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, .000, .000, .000, .000, 5, 0, 1, 2, 0, .---, 0, 0, 1, 25, 5.000, .600, .000, .---, .000, .000, 0
2020, OAK, AL, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0
8 Seasons, 142, 18, 15, 0, 1, 0, 0, 0, 0, 0, 12, 0, 0, 0, .067, .067, .067, .133, 18, 1, 5, 3, 0, .333, 0, 0, 2, 79, 4.389, .667, .000, .---, .000, .000, 0
