Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2016, NYY, AL, 27, 95, 84, 10, 15, 2, 0, 4, 10, 9, 42, 0, 1, 1, .179, .263, .345, .608, 29, 41, 0, 1, .282, 6, 2, 10, 408, 4.295, .442, .042, .214, .167, .167, 0
2017, NYY, AL, 155, 678, 542, 128, 154, 24, 3, 52, 114, 127, 208, 9, 4, 5, .284, .422, .627, 1.049, 340, 248, 0, 4, .357, 79, 15, 84, 2989, 4.409, .307, .077, .611, .343, .343, 0
2018, NYY, AL, 112, 498, 413, 77, 115, 22, 0, 27, 67, 76, 152, 6, 3, 4, .278, .392, .528, .919, 218, 143, 0, 5, .368, 49, 10, 71, 2124, 4.265, .305, .054, .500, .249, .249, 0
2019, NYY, AL, 102, 447, 378, 75, 103, 18, 1, 27, 55, 64, 141, 3, 2, 3, .272, .381, .540, .921, 204, 149, 0, 1, .360, 46, 11, 56, 1914, 4.282, .315, .060, .454, .267, .267, 0
2020, NYY, AL, 18, 71, 65, 16, 19, 2, 0, 9, 20, 3, 19, 0, 0, 2, .292, .343, .738, 1.081, 48, 31, 0, 0, .270, 11, 3, 14, 295, 4.155, .268, .127, .158, .446, .446, 0
5 Seasons, 414, 1789, 1482, 306, 406, 68, 4, 119, 266, 279, 562, 18, 10, 15, .274, .392, .566, .958, 1789, 839, 612, 0, 11, .353, 191, 41, 235, 7730, 4.321, .314, .067, .496, .292, .292, 0
