2017, NYY, AL, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 
2018, NYY, AL, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .---, .---, .---, .000, 
2019, NYY, AL, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 
2020, NYY, AL, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, .000, .000, .000, 
4 Seasons, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, .000, 
2017, NYY, AL, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0, 
2018, NYY, AL, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0, 
2019, NYY, AL, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0, 
2020, NYY, AL, 0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0, 
0, 0, 0, 0, 0, .---, 0, 0, 0, 0, -.--, .---, .---, .---, 0, 
