2017, NYY, AL, 9, 20, 18, 2, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, .000, .100, .000, .100, 
2018, NYY, AL, 29, 79, 72, 6, 12, 2, 0, 3, 6, 6, 16, 0, 0, 1, .167, .241, .319, .560, 
2019, NYY, AL, 18, 57, 56, 8, 12, 5, 0, 3, 11, 0, 26, 0, 0, 0, .214, .211, .464, .675, 
2020, NYY, AL, 3, 9, 9, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, .222, .222, .222, .444, 
4 Seasons, 59, 165, 155, 17, 26, 7, 0, 6, 17, 8, 48, 0, 0, 1, .168, .212, .329, .541, 
2017, NYY, AL, 20, 0, 22, 0, 0, .000, 0, 0, 4, 73, 3.650, .300, .000, .333, .000, .000, 0, 
2018, NYY, AL, 79, 23, 31, 0, 0, .170, 5, 2, 9, 267, 3.380, .203, .038, .375, .153, .153, 0, 
2019, NYY, AL, 57, 26, 26, 0, 1, .321, 8, 1, 3, 246, 4.316, .456, .053, .---, .250, .250, 0, 
2020, NYY, AL, 9, 2, 5, 0, 0, .222, 0, 0, 4, 35, 3.889, .000, .000, .---, .000, .000, 0, 
165, 51, 84, 0, 1, .196, 13, 3, 20, 621, 3.764, .291, .036, .167, .161, .161, 0, 
