2017, NYM, NL, 19, 38, 33, 4, 10, 2, 0, 0, 1, 4, 8, 0, 0, 1, .303, .395, .364, .758, 
2018, NYM, NL, 15, 23, 21, 1, 3, 0, 0, 0, 1, 2, 8, 1, 0, 0, .143, .217, .143, .360, 
2020, PIT, NL, 11, 45, 39, 6, 14, 2, 0, 1, 9, 5, 7, 0, 1, 1, .359, .444, .487, .932, 
3 Seasons, 45, 106, 93, 11, 27, 4, 0, 1, 11, 11, 23, 1, 1, 2, .290, .377, .366, .743, 
2017, NYM, NL, 38, 12, 10, 0, 0, .400, 2, 0, 3, 141, 3.711, .211, .000, .500, .061, .061, 0, 
2018, NYM, NL, 23, 3, 9, 0, 0, .231, 0, 1, 1, 84, 3.652, .348, .000, .250, .000, .000, 0, 
2020, PIT, NL, 45, 19, 10, 0, 0, .419, 3, 1, 4, 159, 3.533, .156, .022, .714, .128, .128, 0, 
106, 34, 29, 0, 0, .377, 5, 2, 8, 384, 3.623, .217, .009, .478, .075, .075, 0, 
