Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, Season, Tm, LG, PA, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2017, MIA, NL, 70, 247, 228, 20, 57, 13, 1, 3, 31, 12, 50, 0, 2, 0, .250, .282, .355, .637, 247, 81, 98, 2, 5, .300, 17, 6, 44, 898, 3.636, .202, .012, .240, .105, .105, 1
2018, MIA, NL, 102, 332, 308, 28, 71, 10, 4, 9, 36, 20, 67, 0, 3, 0, .231, .277, .377, .653, 332, 116, 118, 3, 1, .266, 23, 4, 46, 1240, 3.735, .202, .027, .299, .146, .146, 0
2019, MIA, NL, 51, 139, 132, 15, 25, 6, 0, 6, 12, 5, 42, 0, 0, 2, .189, .230, .371, .601, 139, 49, 54, 0, 0, .226, 12, 3, 15, 482, 3.468, .302, .043, .119, .182, .182, 0
2020, PIT, NL, 15, 47, 45, 6, 7, 2, 0, 1, 1, 2, 6, 1, 0, 0, .156, .191, .267, .458, 47, 12, 20, 0, 0, .158, 3, 0, 1, 156, 3.319, .128, .021, .333, .111, .111, 0
4 Seasons, 238, 765, 713, 69, 160, 31, 5, 19, 80, 39, 165, 1, 5, 2, .224, .264, .362, .626, 765, 258, 290, 5, 6, .264, 55, 13, 106, 2776, 3.629, .216, .025, .236, .137, .137, 1
