2017, PIT, NL, 27, 87, 78, 6, 16, 3, 1, 3, 11, 6, 22, 0, 1, 2, .205, .276, .385, .660, 
2018, PIT, NL, 37, 103, 92, 16, 17, 1, 3, 3, 7, 10, 18, 2, 2, 1, .185, .272, .359, .631, 
2019, CLE, AL, 85, 261, 225, 42, 62, 15, 1, 15, 38, 33, 61, 3, 2, 2, .276, .372, .551, .923, 
2020, CLE, AL, 12, 38, 33, 4, 4, 1, 0, 1, 2, 4, 7, 0, 0, 1, .121, .237, .242, .479, 
4 Seasons, 160, 487, 426, 68, 97, 19, 5, 22, 58, 53, 108, 5, 5, 6, .228, .320, .451, .771, 
2017, PIT, NL, 87, 30, 28, 0, 1, .241, 7, 4, 17, 313, 3.598, .253, .034, .273, .179, .179, 0, 
2018, PIT, NL, 103, 33, 49, 0, 0, .197, 7, 7, 18, 437, 4.243, .175, .029, .556, .174, .174, 0, 
2019, CLE, AL, 261, 124, 82, 0, 1, .313, 31, 7, 38, 1111, 4.257, .234, .057, .541, .276, .276, 0, 
2020, CLE, AL, 38, 8, 21, 0, 0, .120, 2, 2, 8, 152, 4.000, .184, .026, .571, .121, .121, 0, 
487, 192, 180, 0, 2, .252, 46, 20, 81, 2007, 4.121, .222, .045, .491, .223, .223, 0, 
